External_Id__c,SBQQ__Product__r.External_ID__c,SBQQ__ProductFeature__r.External_ID__c,SBQQ__ProductRule__r.External_Id__c,SBQQ__Active__c,SBQQ__AscendingNestedLevel__c,SBQQ__DescendingActionNesting__c,SBQQ__DescendingNestedLevel__c
20230607,EX-0010631,EX-0000105,EX-0230609,true,,,
20230608,EX-0010772,EX-0000214,EX-0230609,true,,,
20230609,EX-0010910,,EX-0230615,true,,,
20230610,EX-0010910,EX-0000186,EX-0230613,false,,1,
20230611,EX-0010908,EX-0000058,EX-0230609,true,,,
20230612,EX-0010202,EX-0000154,EX-0230609,true,,,
20230613,EX-0010612,EX-0000151,EX-0230609,true,,,
20230614,EX-0010801,EX-0000063,EX-0230609,true,,,
20230615,EX-0010512,EX-0000100,EX-0230609,true,,,
20230616,EX-0010718,EX-0000086,EX-0230609,true,,,
EX-20231004.01,EX-0010953,EX-0000153,EX-0230609,true,,,
EX-20231004.02,EX-0010977,EX-0000099,EX-0230609,true,,,
EX-20231004.05,EX-0010201,EX-0000127,EX-0230609,true,,,
